"KBA010239","경남(2차)","현대빌라트","개포동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('16229','KBA010239',1000000013,NOW(),1000000013,NOW());"
"KBA011464","논현두산위브","골든캐슬","논현동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('105408','KBA011464',1000000013,NOW(),1000000013,NOW());"
"KBA011464","논현두산위브","그랑디오스","논현동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('26196','KBA011464',1000000013,NOW(),1000000013,NOW());"
"KBA011464","논현두산위브","논현대우멤버스카운티","논현동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('104277','KBA011464',1000000013,NOW(),1000000013,NOW());"
"KBA011464","논현두산위브","논현두산위브1단지","논현동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('9765','KBA011464',1000000013,NOW(),1000000013,NOW());"
"KBA011464","논현두산위브","논현두산위브2단지","논현동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('101321','KBA011464',1000000013,NOW(),1000000013,NOW());"
"KBA011464","논현두산위브","논현라폴리움","논현동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('106971','KBA011464',1000000013,NOW(),1000000013,NOW());"
"KBA011464","논현두산위브","논현멤버스카운티","논현동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('108089','KBA011464',1000000013,NOW(),1000000013,NOW());"
"KBA011464","논현두산위브","논현브라운스톤로얄스위트","논현동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('102760','KBA011464',1000000013,NOW(),1000000013,NOW());"
"KBA011464","논현두산위브","논현아트빌","논현동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('13165','KBA011464',1000000013,NOW(),1000000013,NOW());"
