KB_REGN_NM,KB_REGN_NM,KB_REGN_NM,CMPX_IDF_ID,CMPX_IDF_NM,TOT_HSHL_CNT,NV세대수,SUM_HSHL_CNT,NV_CMPX_NM,NV_CMPX_ID,KB주택형,NV주택형,NV_URL,KB_URL,REG_USER_ID
도곡동,강남구,서울특별시,KBA001081,매봉(삼성),110,132,132,매봉,334,"70.84㎡/59.82㎡^,100.61㎡/83.49㎡^","면적70㎡^,면적98A㎡^,면적100B㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=334,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001081&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010100&부동산소지역코드=010104&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=매봉(삼성)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1000000015
도곡동,강남구,서울특별시,KBA009283,현대비젼21,437,232,232,현대비젼21,8331,"50.9㎡/32.65㎡^,51.6㎡/33.1㎡^,54.55㎡/34.99㎡^,66.57㎡/42.7㎡^","면적50㎡^,면적51㎡^,면적54㎡^,면적66㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=8331,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA009283&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010100&부동산소지역코드=010104&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=현대비젼21&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1000000001
삼성동,강남구,서울특별시,KBA000897,진흥,630,255,255,진흥,100285,"109.09㎡/83.58㎡^,180.67㎡/170㎡^,224.79㎡/196.73㎡^","면적110㎡^,면적180㎡^,면적221㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=100285,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA000897&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010100&부동산소지역코드=010105&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=진흥&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1000000001
삼성동,강남구,서울특별시,KBA012337,삼성리치빌,59,48,48,삼성리치빌,13609,84.98㎡/84.96㎡^,면적99㎡^,http://land.naver.com/article/complexInfo.nhn?rletNo=13609,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA012337&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010100&부동산소지역코드=010105&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=삼성리치빌&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1000000001
삼성동,강남구,서울특별시,KBA011476,삼부,83,48,48,강변삼부,8404,"81.38㎡/59.61㎡^,81.68㎡/59.85㎡^,110.87㎡/81.21㎡^,113.81㎡/83.39㎡^,125.73복층㎡/92.09㎡^","면적100㎡^,면적135㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=8404,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA011476&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010100&부동산소지역코드=010105&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=삼부&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1000000013
수서동,강남구,서울특별시,KBA008997,까치마을,1410,1403,1403,까치마을,641,"49.01㎡/34.44㎡^,56.36㎡/39.6㎡^,70.45㎡/49.5㎡^","면적49㎡^,면적56㎡^,면적70㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=641,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA008997&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010100&부동산소지역코드=010107&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=까치마을&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1000000001
신사동,강남구,서울특별시,KBA009405,로데오현대,139,138,138,로데오현대,826,"73.95㎡/55.08㎡^,114.07㎡/84.96㎡^,122.1㎡/90.94㎡^","면적73㎡^,면적114㎡^,면적122㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=826,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA009405&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010100&부동산소지역코드=010108&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=로데오현대&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1000000001
압구정동,강남구,서울특별시,KBA001999,현대(1차),660,960,960,"현대1,2차",712,"142.14㎡/131.48㎡^,178.51㎡/160.28㎡^,214.87㎡/196.36㎡^","면적141㎡^,면적172㎡^,면적176A㎡^,면적176B㎡^,면적176㎡^,면적211㎡^,면적213㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=712,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001999&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010100&부동산소지역코드=010109&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=현대(1차)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1000000015
압구정동,강남구,서울특별시,KBA009818,현대(2차),480,960,960,"현대1,2차",712,"175.2㎡/160.28㎡^,178.51㎡/162.94㎡^,214.87㎡/196.84㎡^","면적141㎡^,면적172㎡^,면적176A㎡^,면적176B㎡^,면적176㎡^,면적211㎡^,면적213㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=712,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA009818&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010100&부동산소지역코드=010109&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=현대(2차)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1000000015
압구정동,강남구,서울특별시,KBA007356,현대(6차),728,1288,1288,"현대6,7차",724,"158.67㎡/144.2㎡^,171.9㎡/157.36㎡^,214.87㎡/196.7㎡^","면적156A㎡^,면적156C㎡^,면적156B㎡^,면적157㎡^,면적170㎡^,면적212A㎡^,면적212B㎡^,면적264㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=724,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA007356&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010100&부동산소지역코드=010109&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=현대(6차)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1000000015
