KB_REGN_NM,KB_REGN_NM,KB_REGN_NM,CMPX_IDF_ID,CMPX_IDF_NM,TOT_HSHL_CNT,NV세대수,NV_CMPX_NM,NV_CMPX_ID,KB주택형,NV주택형,REG_USER_ID
청담동,강남구,서울특별시,KBA004351,진흥,630,375,진흥,733,"107.19㎡/83.58㎡&,145.69㎡/126.46㎡&,181.81㎡/158.81㎡&","면적107㎡&,면적109㎡&,면적143㎡&,면적145B㎡&,면적145A㎡&,면적180㎡&",1000000001
청담동,강남구,서울특별시,KBA003477,신동아,107,106,신동아,8478,103.82㎡/84.94㎡&,"면적103㎡&,면적115㎡&",1000000001
길동,강동구,서울특별시,KBA011506,"에이치비골드빌(2,3차)",186,317,에이치비골드빌,11980,"62.81㎡/42.3㎡&,85.95A㎡/57.31㎡&,92.56㎡/62.39㎡&,99.17㎡/64.19㎡&,109.09A㎡/74.51㎡&,115.7㎡/83.11㎡&","면적47㎡&,면적51㎡&,면적61㎡&,면적69㎡&,면적71㎡&,면적75㎡&,면적81A㎡&,면적83B㎡&,면적84㎡&,면적88A㎡&,면적90C㎡&,면적90B㎡&,면적95㎡&,면적97A㎡&,면적98B㎡&,면적101㎡&,면적114㎡&",1000000014
길동,강동구,서울특별시,KBA005969,길동골드빌1차,131,19,골든빌,18611,"79.33㎡/60.1㎡&,95.86㎡/72.41㎡&,112.39㎡/84.77㎡&","면적125㎡&,면적132㎡&,면적224㎡&,면적267㎡&",1000000013
둔촌동,강동구,서울특별시,KBA015234,광남캐스빌,98,126,광남캐스빌(435-7),22177,102.13㎡/83.97㎡&,"면적79㎡&,면적92㎡&,면적102D㎡&,면적102E㎡&,면적102C㎡&,면적102B㎡&,면적102A㎡&,면적108㎡&,면적142㎡&",1000000014
명일동,강동구,서울특별시,KBA015047,우성(휠),51,77,우성(356),18555,105.3㎡/84.97㎡&,"면적52㎡&,면적84㎡&,면적90㎡&,면적92A㎡&,면적92B㎡&,면적96㎡&,면적98E㎡&,면적98F㎡&,면적99A㎡&,면적99B㎡&,면적100C㎡&,면적100D㎡&,면적103㎡&,면적104B㎡&,면적105A㎡&",1000000012
성내동,강동구,서울특별시,KBA005542,삼성(3단지),50,1220,성내삼성,993,112.39㎡/84.99㎡&,"면적85㎡&,면적110㎡&,면적142㎡&",1000000015
성내동,강동구,서울특별시,KBA006629,삼성(1단지),510,1220,성내삼성,993,85.95㎡/59.88㎡&,"면적85㎡&,면적110㎡&,면적142㎡&",1000000015
성내동,강동구,서울특별시,KBA010828,삼성(2단지),661,1220,성내삼성,993,"109.09㎡/84.99㎡&,142.14㎡/114.93㎡&","면적85㎡&,면적110㎡&,면적142㎡&",1000000015
미아동,강북구,서울특별시,KBA019325,경남아너스빌(796),209,208,경남아너스빌(796),23821,"86.81㎡/62.71㎡&,108.38A㎡/84.91㎡&,108.18B㎡/84.87㎡&,108.91C㎡/84.93㎡&,109.73㎡/84.98㎡&,102.02㎡/81.98㎡&","면적86㎡&,면적102㎡&,면적108B㎡&,면적108A㎡&,면적108C㎡&,면적109㎡&",1000000001
미아동,강북구,서울특별시,KBA002877,SK북한산시티,5327,3830,SK북한산시티,3098,"81.43㎡/59.98㎡&,109.28D㎡/84.76㎡&,142.21㎡/114.85㎡&,111.12B㎡/84.71㎡&,111.06C㎡/84.92㎡&,111.31A㎡/84.86㎡&","면적81A㎡&,면적109㎡&,면적111C㎡&,면적111B㎡&,면적111A㎡&,면적142㎡&",1000000001
미아동,강북구,서울특별시,KBA002696,벽산라이브파크,2075,1585,벽산라이브파크,3099,"74.38㎡/59.67㎡&,74.79㎡/60㎡&,102.49㎡/84.89㎡&,133.01㎡/114.68㎡&","면적74A㎡&,면적74B㎡&,면적102㎡&,면적133㎡&",1000000001
미아동,강북구,서울특별시,KBA011525,삼각산아이원,2017,1344,삼각산아이원,8206,"79.4㎡/59.75㎡&,105.19㎡/84.7㎡&,137.59㎡/114.88㎡&","면적79㎡&,면적105㎡&,면적137㎡&",1000000001
번동,강북구,서울특별시,KBA018037,효성네오인텔리안,123,121,효성네오인텔리안,17631,"53.19B㎡/41.15㎡&,91.85㎡/71.05㎡&,104.87㎡/81.12㎡&,52.99A㎡/40.99㎡&","면적52A㎡&,면적53B㎡&,면적77㎡&,면적91㎡&,면적104㎡&,면적196㎡&",1000000001
번동,강북구,서울특별시,KBA001565,훼미리힐,74,54,훼미리힐,3130,"76.03㎡/59.16㎡&,95.86㎡/78.84㎡&,155.37㎡/126.67㎡&","면적75㎡&,면적94㎡&,면적151㎡&",1000000001
가양동,강서구,서울특별시,KBA011540,일신건영휴먼빌,174,177,일신건영휴먼빌,9788,"77.57㎡/59.98㎡&,105.11㎡/84.95㎡&,81.08㎡/65.13㎡&","면적77㎡&,면적81㎡&,면적105㎡&",1000000001
내발산동,강서구,서울특별시,KBA019735,청솔숲속마을(102동),77,125,청솔숲속마을,25875,"78.55㎡/61.68㎡&,106.85㎡/84.62㎡&","면적78㎡&,면적99㎡&,면적103A㎡&,면적104B㎡&,면적106C㎡&,면적108㎡&,면적127㎡&",1000000012
내발산동,강서구,서울특별시,KBA022102,마곡수명산파크1단지,580,1421,마곡수명산파크1단지,25967,107.65㎡/84.68㎡&,"면적107F㎡&,면적107A㎡&,면적107F1㎡&,면적107B㎡&",1000000001
내발산동,강서구,서울특별시,KBA019318,마곡수명산파크3단지,237,518,마곡수명산파크3단지,25968,108.59㎡/84.76㎡&,"면적108D㎡&,면적108F㎡&,면적108E㎡&",1000000001
내발산동,강서구,서울특별시,KBA019319,마곡수명산파크6단지,162,399,마곡수명산파크6단지,25969,108.03㎡/84.68㎡&,"면적66A㎡&,면적107F㎡&,면적108A㎡&,면적108B㎡&",1000000001
내발산동,강서구,서울특별시,KBA019865,마곡수명산파크4단지,630,919,마곡수명산파크4단지,26123,"79.38㎡/59.84㎡&,111.66㎡/84.96㎡&","면적79㎡&,면적111D㎡&,면적111F㎡&,면적111E㎡&",1000000001
내발산동,강서구,서울특별시,KBA020356,마곡수명산파크5단지,458,948,마곡수명산파크5단지,26124,80.26㎡/59.84㎡&,"면적80A㎡&,면적80C㎡&,면적80B㎡&",1000000001
등촌동,강서구,서울특별시,KBA011535,등촌3차보람쉬움,68,65,등촌3차보람쉬움,10255,"108.49A㎡/84.51㎡&,108.14B㎡/84.09㎡&,142.28㎡/112.05㎡&","면적108B㎡&,면적108A㎡&,면적142㎡&",1000000001
등촌동,강서구,서울특별시,KBA011148,등촌동아이파크(2단지),257,1653,등촌아이파크,13859,105.78㎡/84.75㎡&,"면적105C㎡&,면적105B㎡&,면적107A㎡&,면적150㎡&,면적170㎡&,면적171㎡&,면적204㎡&,면적296㎡&",1000000015
등촌동,강서구,서울특별시,KBA011531,등촌동아이파크(1차),1363,1653,등촌아이파크,13859,"102.47㎡/84.99㎡&,148.76㎡/119.9㎡&,168.59A㎡/134.88㎡&,168.59BC㎡/134.98㎡&,201.65㎡/165.82㎡&","면적105C㎡&,면적105B㎡&,면적107A㎡&,면적150㎡&,면적170㎡&,면적171㎡&,면적204㎡&,면적296㎡&",1000000015
방화동,강서구,서울특별시,KBA011351,도시개발공사(그린),984,2547,도시개발2단지,23,"44.08㎡/33.6㎡&,52.16㎡/39.76㎡&,65.29㎡/49.77㎡&","면적43A㎡&,면적44B㎡&,면적52A㎡&,면적65㎡&",1000000012
염창동,강서구,서울특별시,KBA006897,극동상록수,259,256,극동상록수,1028,"86.05㎡/59.91㎡&,110.36㎡/84.96㎡&","면적86㎡&,면적110㎡&",1000000001
염창동,강서구,서울특별시,KBA019625,보람더하임(1차),202,221,보람더하임1차,25936,"103.73㎡/84.97㎡&,136.97㎡/116.92㎡&","면적103㎡&,면적105B㎡&,면적105A㎡&,면적118㎡&,면적136㎡&,면적169㎡&",1000000002
화곡동,강서구,서울특별시,KBA003706,초록,625,626,초록,1038,"69.75㎡/49.77㎡&,83.16㎡/59.34㎡&,106.87㎡/84.07㎡&","면적68B㎡&,면적69A㎡&,면적82B㎡&,면적83A㎡&,면적83C㎡&,면적106B㎡&,면적106A㎡&,면적106E㎡&,면적107D㎡&,면적107C㎡&",1000000001
