KBA011498,대치동대우아이빌명문가,아름빌,,대치동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('13148','KBA011498',1000000013,NOW(),1000000013,NOW());"
KBA011498,대치동대우아이빌명문가,대치대우아이빌명문가7차,,대치동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('9906','KBA011498',1000000013,NOW(),1000000013,NOW());"
KBA011499,대치동대우아이빌멤버스,월드빌,,대치동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('102216','KBA011499',1000000013,NOW(),1000000013,NOW());"
KBA011499,대치동대우아이빌멤버스,대치대우아이빌멤버스4차,,대치동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('10393','KBA011499',1000000013,NOW(),1000000013,NOW());"
KBA011499,대치동대우아이빌멤버스,아름빌,,대치동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('13148','KBA011499',1000000013,NOW(),1000000013,NOW());"
KBA011499,대치동대우아이빌멤버스,대치대우아이빌명문가7차,,대치동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('9906','KBA011499',1000000013,NOW(),1000000013,NOW());"
KBA011500,풍림아이원,대치풍림아이원1차,,대치동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('10297','KBA011500',1000000013,NOW(),1000000013,NOW());"
KBA011500,풍림아이원,대치풍림아이원3차,,대치동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('11620','KBA011500',1000000013,NOW(),1000000013,NOW());"
KBA011500,풍림아이원,대치풍림아이원4차,,대치동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('11621','KBA011500',1000000013,NOW(),1000000013,NOW());"
KBA011500,풍림아이원,대치풍림아이원2차,,대치동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('13826','KBA011500',1000000013,NOW(),1000000013,NOW());"
