KB_REGN_NM,KB_REGN_NM,KB_REGN_NM,CMPX_IDF_ID,CMPX_IDF_NM,TOT_HSHL_CNT,NV세대수,SUM_HSHL_CNT,NV_CMPX_NM,NV_CMPX_ID,KB주택형,NV주택형,NV_URL,KB_URL,기매핑건수
상계동,노원구,서울특별시,KBA001038,상계주공(1단지저층),230,397,397,한신(조흥한신),10538,"66.11㎡/62.17㎡^,76.03㎡/71.89㎡^,89.25㎡/84.41㎡^","면적102B㎡^,면적102A㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=10538,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001038&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010900&부동산소지역코드=010902&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=상계주공(1단지저층)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1
상계동,노원구,서울특별시,KBA001038,상계주공(1단지저층),230,17,17,뉴동부,107090,"66.11㎡/62.17㎡^,76.03㎡/71.89㎡^,89.25㎡/84.41㎡^","면적56㎡^,면적76A㎡^,면적77B㎡^,면적95㎡^,면적97㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=107090,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001038&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010900&부동산소지역코드=010902&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=상계주공(1단지저층)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0
상계동,노원구,서울특별시,KBA001038,상계주공(1단지저층),230,19,19,공감대,107177,"66.11㎡/62.17㎡^,76.03㎡/71.89㎡^,89.25㎡/84.41㎡^","면적77㎡^,면적100㎡^,면적138㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=107177,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001038&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010900&부동산소지역코드=010902&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=상계주공(1단지저층)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0
상계동,노원구,서울특별시,KBA001038,상계주공(1단지저층),230,149,149,소담빌(도시형),108038,"66.11㎡/62.17㎡^,76.03㎡/71.89㎡^,89.25㎡/84.41㎡^","면적22A1㎡^,면적22A2㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=108038,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001038&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010900&부동산소지역코드=010902&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=상계주공(1단지저층)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0
상계동,노원구,서울특별시,KBA001038,상계주공(1단지저층),230,19,14,청솔,109012,"66.11㎡/62.17㎡^,76.03㎡/71.89㎡^,89.25㎡/84.41㎡^","면적47㎡^,면적56㎡^,면적60㎡^,면적67㎡^,면적78㎡^,면적81A㎡^,면적82B㎡^,면적96㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=109012,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001038&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010900&부동산소지역코드=010902&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=상계주공(1단지저층)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0
상계동,노원구,서울특별시,KBA001038,상계주공(1단지저층),230,299,299,극동늘푸른,1097,"66.11㎡/62.17㎡^,76.03㎡/71.89㎡^,89.25㎡/84.41㎡^","면적84㎡^,면적109㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=1097,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001038&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010900&부동산소지역코드=010902&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=상계주공(1단지저층)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1
상계동,노원구,서울특별시,KBA001038,상계주공(1단지저층),230,259,259,노원현대,1098,"66.11㎡/62.17㎡^,76.03㎡/71.89㎡^,89.25㎡/84.41㎡^","면적106㎡^,면적107C㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=1098,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001038&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010900&부동산소지역코드=010902&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=상계주공(1단지저층)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1
상계동,노원구,서울특별시,KBA001038,상계주공(1단지저층),230,358,358,대동청솔,1099,"66.11㎡/62.17㎡^,76.03㎡/71.89㎡^,89.25㎡/84.41㎡^","면적77㎡^,면적110㎡^,면적148㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=1099,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001038&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010900&부동산소지역코드=010902&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=상계주공(1단지저층)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1
상계동,노원구,서울특별시,KBA001038,상계주공(1단지저층),230,492,491,미주동방벽운,1100,"66.11㎡/62.17㎡^,76.03㎡/71.89㎡^,89.25㎡/84.41㎡^","면적139㎡^,면적158㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=1100,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001038&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010900&부동산소지역코드=010902&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=상계주공(1단지저층)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1
상계동,노원구,서울특별시,KBA001038,상계주공(1단지저층),230,673,485,불암동아,1101,"66.11㎡/62.17㎡^,76.03㎡/71.89㎡^,89.25㎡/84.41㎡^","면적83㎡^,면적109B㎡^,면적109A㎡^,면적141㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=1101,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001038&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010900&부동산소지역코드=010902&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=상계주공(1단지저층)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1
