3611010100100000000000001|3611055600|반곡동|30145|||||0
3611010100100000000000002|3611055600|반곡동|30145|||||0
3611010100100000000000003|3611055600|반곡동|30145|||||0
3611010100100000000000004|3611055600|반곡동|30145|||||0
3611010100100340004000001|3611055600|반곡동|30146||||수루배마을1단지 근린생활시설|0
3611010100100350005000001|3611055600|반곡동|30146|||수루배마을 1단지|수루배마을1단지|1
3611010100100360007000001|3611055600|반곡동|30146||||수루배마을 3단지 근린생활시설|0
3611010100100400008000001|3611055600|반곡동|30146|||수루배마을3단지|수루배마을 3단지|1
3611010100100420001000001|3611055600|반곡동|30145||||수루배마을2단지 근린생활시설|0
3611010100100420009000001|3611055600|반곡동|30145||||솔빛초등학교|0
3611010100100440010000001|3611055600|반곡동|30146||||반곡유치원|0
3611010100100450008000001|3611055600|반곡동|30146||||반곡동 복합커뮤니티센터|0
3611010100100450011000001|3611055600|반곡동|30146|||||0
3611010100100450014000001|3611055600|반곡동|30146||||시드니블루|0
3611010100100460001000001|3611055600|반곡동|30145||||수루배마을5단지 상가동|0
3611010100100460003000001|3611055600|반곡동|30145|||수루배마을5단지|수루배마을5단지|1
3611010100100470001000001|3611055600|반곡동|30145||||수루배마을5단지 상가동|0
3611010100100490013000001|3611055600|반곡동|30146|||||0
3611010100100490014000001|3611055600|반곡동|30146||||왕관빌딩|0
3611010100100500011000001|3611055600|반곡동|30146||||반곡초등학교|0
3611010100100520001000001|3611055600|반곡동|30146||||반곡중학교|0
3611010100100590007000001|3611055600|반곡동|30146|||수루배마을 4단지|수루배마을 4단지|1
3611010100100610010000001|3611055600|반곡동|30146||||햇무리교회|0
3611010100100630003000001|3611055600|반곡동|30145||||반곡고등학교|0
3611010100100650010000001|3611055600|반곡동|30145||||수루배마을6단지 근린생활시설|0
3611010100100670001000001|3611055600|반곡동|30145||||세종시 장애인형 국민체육센터|0
3611010100101430001000001|3611055600|반곡동|30145|||수루배마을 6단지|수루배마을 6단지|1
3611010100101790003000001|3611055600|반곡동|30145|||||0
3611010100101790003000002|3611055600|반곡동|30145|||||0
3611010100101910000000001|3611055600|반곡동|30145||||솔빛숲유치원|0
