법정동코드,법정동명,상위지역코드 ,서열 ,생성일 ,폐지일 ,최종작업일 ,최하지역명, 법정동코드(주민),법정동코드(지적)
4711132023,경상북도 포항시 남구 동해면 금광리,,03,,,,금광리,4711132023,4711132023
4711132024,경상북도 포항시 남구 동해면 신정리,,04,,,,신정리,4711132024,4711132024
4711132025,경상북도 포항시 남구 동해면 석리,,05,,,,석리,4711132025,4711132025
4711132026,경상북도 포항시 남구 동해면 임곡리,,06,,,,임곡리,4711132026,4711132026
4711132027,경상북도 포항시 남구 동해면 입암리,,07,,,,입암리,4711132027,4711132027
4711132028,경상북도 포항시 남구 동해면 마산리,,08,,,,마산리,4711132028,4711132028
4711132029,경상북도 포항시 남구 동해면 흥환리,,09,,,,흥환리,4711132029,4711132029
4711132030,경상북도 포항시 남구 동해면 중흥리,,10,,,,중흥리,4711132030,4711132030
4711132031,경상북도 포항시 남구 동해면 발산리,,11,,,,발산리,4711132031,4711132031
4711132032,경상북도 포항시 남구 동해면 상정리,,12,,,,상정리,4711132032,4711132032
4711132033,경상북도 포항시 남구 동해면 중산리,,13,,,,중산리,4711132033,4711132033
4711132034,경상북도 포항시 남구 동해면 공당리,,14,,,,공당리,4711132034,4711132034
4711133000,경상북도 포항시 남구 장기면,,23,,,,장기면,4711133000,4711133000
4711133021,경상북도 포항시 남구 장기면 읍내리,,01,,,,읍내리,4711133021,4711133021
4711133022,경상북도 포항시 남구 장기면 마현리,,02,,,,마현리,4711133022,4711133022
4711133023,경상북도 포항시 남구 장기면 금곡리,,03,,,,금곡리,4711133023,4711133023
4711133024,경상북도 포항시 남구 장기면 영암리,,04,,,,영암리,4711133024,4711133024
4711133025,경상북도 포항시 남구 장기면 신창리,,05,,,,신창리,4711133025,4711133025
4711133026,경상북도 포항시 남구 장기면 양포리,,06,,,,양포리,4711133026,4711133026
4711133027,경상북도 포항시 남구 장기면 계원리,,07,,,,계원리,4711133027,4711133027
4711133028,경상북도 포항시 남구 장기면 두원리,,08,,,,두원리,4711133028,4711133028
4711133029,경상북도 포항시 남구 장기면 수성리,,09,,,,수성리,4711133029,4711133029
4711133030,경상북도 포항시 남구 장기면 임중리,,10,,,,임중리,4711133030,4711133030
4711133031,경상북도 포항시 남구 장기면 방산리,,11,,,,방산리,4711133031,4711133031
4711133032,경상북도 포항시 남구 장기면 산서리,,12,,,,산서리,4711133032,4711133032
4711133033,경상북도 포항시 남구 장기면 서촌리,,13,,,,서촌리,4711133033,4711133033
4711133034,경상북도 포항시 남구 장기면 금오리,,14,,,,금오리,4711133034,4711133034
4711133035,경상북도 포항시 남구 장기면 대진리,,15,,,,대진리,4711133035,4711133035
4711133036,경상북도 포항시 남구 장기면 모포리,,16,,,,모포리,4711133036,4711133036
4711133037,경상북도 포항시 남구 장기면 학계리,,17,,,,학계리,4711133037,4711133037
4711133038,경상북도 포항시 남구 장기면 학곡리,,18,,,,학곡리,4711133038,4711133038
4711133039,경상북도 포항시 남구 장기면 신계리,,19,,,,신계리,4711133039,4711133039
4711133040,경상북도 포항시 남구 장기면 창지리,,20,,,,창지리,4711133040,4711133040
4711133041,경상북도 포항시 남구 장기면 대곡리,,21,,,,대곡리,4711133041,4711133041
4711133042,경상북도 포항시 남구 장기면 죽정리,,22,,,,죽정리,4711133042,4711133042
4711133043,경상북도 포항시 남구 장기면 정천리,,23,,,,정천리,4711133043,4711133043
4711135000,경상북도 포항시 남구 호미곶면,,01,20100101,,,호미곶면,4711135000,4711135000
4711135021,경상북도 포항시 남구 호미곶면 강사리,,02,20100101,,,강사리,4711135021,4711135021
4711135022,경상북도 포항시 남구 호미곶면 대보리,,03,20100101,,,대보리,4711135022,4711135022
4711135023,경상북도 포항시 남구 호미곶면 구만리,,04,20100101,,,구만리,4711135023,4711135023
4711135024,경상북도 포항시 남구 호미곶면 대동배리,,05,20100101,,,대동배리,4711135024,4711135024
4711300000,경상북도 포항시 북구,,03,,,,포항시 북구,4711300000,4711300000
4711310100,경상북도 포항시 북구 대흥동,,01,,,,대흥동,4711310100,4711310100
4711310200,경상북도 포항시 북구 신흥동,,02,,,,신흥동,4711310200,4711310200
4711310300,경상북도 포항시 북구 남빈동,,03,,,,남빈동,4711310300,4711310300
4711310400,경상북도 포항시 북구 상원동,,04,,,,상원동,4711310400,4711310400
4711310500,경상북도 포항시 북구 여천동,,05,,,,여천동,4711310500,4711310500
4711310600,경상북도 포항시 북구 중앙동,,06,,,,중앙동,4711310600,4711310600
4711310700,경상북도 포항시 북구 덕산동,,07,,,,덕산동,4711310700,4711310700
4711310800,경상북도 포항시 북구 덕수동,,08,,,,덕수동,4711310800,4711310800
4711310900,경상북도 포항시 북구 대신동,,09,,,,대신동,4711310900,4711310900
4711311000,경상북도 포항시 북구 동빈1가,,10,,,,동빈1가,4711311000,4711311000
