법정동코드,법정동명,상위지역코드 ,서열 ,생성일 ,폐지일 ,최종작업일 ,최하지역명, 법정동코드(주민),법정동코드(지적)
1100000000,서울특별시,0,11,20000101,,,서울특별시,1100000000,1100000000
1111000000,서울특별시 종로구,,1,,,,종로구,1111000000,1111000000
1111010100,서울특별시 종로구 청운동,,1,,,,청운동,1111010100,1111010100
1111010200,서울특별시 종로구 신교동,,2,,,,신교동,1111010200,1111010200
1111010300,서울특별시 종로구 궁정동,,3,,,,궁정동,1111010300,1111010300
1111010400,서울특별시 종로구 효자동,,4,,,,효자동,1111010400,1111010400
1111010500,서울특별시 종로구 창성동,,5,,,,창성동,1111010500,1111010500
1111010600,서울특별시 종로구 통의동,,6,,,,통의동,1111010600,1111010600
1111010700,서울특별시 종로구 적선동,1111000000,7,,,,적선동,1111010700,1111010700
1111010800,서울특별시 종로구 통인동,1111000000,8,20050224,,,통인동,1111010800,1111010800
1111010900,서울특별시 종로구 누상동,,9,,,,누상동,1111010900,1111010900
1111011000,서울특별시 종로구 누하동,,10,,,,누하동,1111011000,1111011000
1111011100,서울특별시 종로구 옥인동,,11,,,,옥인동,1111011100,1111011100
1111011200,서울특별시 종로구 체부동,,12,,,,체부동,1111011200,1111011200
1111011300,서울특별시 종로구 필운동,,13,,,,필운동,1111011300,1111011300
1111011400,서울특별시 종로구 내자동,,14,,,,내자동,1111011400,1111011400
1111011500,서울특별시 종로구 사직동,,15,,,,사직동,1111011500,1111011500
1111011600,서울특별시 종로구 도렴동,,16,,,,도렴동,1111011600,1111011600
1111011700,서울특별시 종로구 당주동,,17,,,,당주동,1111011700,1111011700
1111011800,서울특별시 종로구 내수동,,18,,,,내수동,1111011800,1111011800
1111011900,서울특별시 종로구 세종로,,19,,,,세종로,1111011900,1111011900
1111012000,서울특별시 종로구 신문로1가,,20,,,,신문로1가,1111012000,1111012000
1111012100,서울특별시 종로구 신문로2가,,21,,,,신문로2가,1111012100,1111012100
1111012200,서울특별시 종로구 청진동,,22,,,,청진동,1111012200,1111012200
1111012300,서울특별시 종로구 서린동,,23,,,,서린동,1111012300,1111012300
1111012400,서울특별시 종로구 수송동,,24,,,,수송동,1111012400,1111012400
